sprint,phase,record,recorded_title,classification,current_reference_or_planning
008,phase-05-signal-research,docs/archive/phases/phase-05-signal-research/SPRINT_008.md,Sprint 008 — Signal Research Computation MVP,implemented_slice,docs/reference/workflows/SIGNAL_RESEARCH.md
009,phase-05-signal-research,docs/archive/phases/phase-05-signal-research/SPRINT_009.md,Sprint 009 — Market Model and Combined Research Scopes,implemented_slice,docs/reference/workflows/SIGNAL_RESEARCH.md
010,phase-05-signal-research,docs/archive/phases/phase-05-signal-research/SPRINT_010.md,Sprint 010 — Signal Research Analytics MVP,implemented_slice,docs/reference/workflows/SIGNAL_RESEARCH.md
017,phase-05-signal-research,docs/archive/phases/phase-05-signal-research/SPRINT_017.md,Sprint 017 — Model Research Methodology MVP,implemented_slice,docs/reference/workflows/SIGNAL_RESEARCH.md
013,phase-06-strategy-research,docs/archive/phases/phase-06-strategy-research/SPRINT_013.md,Sprint 013 — OHLCV Strategy Research MVP (Phase 6A),implemented_slice,docs/reference/workflows/STRATEGY_RESEARCH.md
014,phase-06-strategy-research,docs/archive/phases/phase-06-strategy-research/SPRINT_014.md,Sprint 014 — Strategy Research Dashboard (Phase 6A Inspection),implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
016,phase-07-robustness-research,docs/archive/phases/phase-07-robustness-research/SPRINT_016.md,Sprint 016 — Robustness Research MVP (Phase 7),implemented_slice,docs/reference/workflows/methodologies/ROBUSTNESS_RESEARCH.md
018,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_018.md,Sprint 018 - Live Dry-Run Execution Planning and Contracts,decision_and_contract,docs/reference/workflows/STRATEGY_EXECUTION.md
019,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_019.md,Sprint 019 - Binance BTC Futures Live Data Adapter,implemented_slice,docs/reference/workflows/STRATEGY_EXECUTION.md
020,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_020.md,Sprint 020 - Local BTC Futures Dry-Run Runtime,implemented_slice,docs/reference/workflows/STRATEGY_EXECUTION.md
021,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_021.md,Sprint 021 - Execution Persistence and Read Model,implemented_slice,docs/reference/workflows/STRATEGY_EXECUTION.md
022,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_022.md,Sprint 022 - AWS Runtime MVP for BTC Futures Dry Run,implemented_slice,docs/reference/runbooks/AWS_BTC_FUTURES_DRY_RUN.md
023,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_023.md,Sprint 023 - OVH Portfolio Live Dry-Run Dashboard,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
024,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_024.md,Sprint 024 - Dry-Run Reliability Wiring (re-scoped),implemented_slice,docs/reference/workflows/STRATEGY_EXECUTION.md
025,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_025.md,Sprint 025 - Streamlit Dashboard Polish and VPS Publish,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
031,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_031.md,Sprint 031 — Live Paper in Dashboard,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
032,phase-08-dry-run-execution,docs/archive/phases/phase-08-dry-run-execution/SPRINT_032.md,Sprint 032 — Live Strategy Evaluation Parity,implemented_slice,docs/reference/workflows/STRATEGY_EXECUTION.md
039,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_039.md,Sprint 039 — Predictive Research Dataset Foundation (Phase 10A),implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
040,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_040.md,Sprint 040 — Baseline Regression and Classification (Phase 10A),implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
041,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_041.md,Sprint 041 — Predictive Research Report v1 (Phase 10A),implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
042,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_042.md,Sprint 042 — Tree-Based Predictive Models (Phase 10B),implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
043,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_043.md,Sprint 043 — Neural Predictive Models: Feedforward and LSTM (Phase 10C),implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
044,phase-10-predictive-research,docs/archive/phases/phase-10-predictive-research/SPRINT_044.md,Sprint 044 — Predictive Research in the Dashboard and the IDEA-014 Gate (Phase 10C),implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
046,phase-11-operator-cli,docs/archive/phases/phase-11-operator-cli/SPRINT_046.md,"Sprint 046 — Universal Operator CLI (`trading-cli`, Phase 11)",implemented_slice,docs/reference/modules/OPERATOR_CLI.md
047,phase-12-strategy-authoring,docs/archive/phases/phase-12-strategy-authoring/SPRINT_047.md,Sprint 047 — Custom Strategy Authoring (Phase 12),implemented_slice,docs/reference/modules/STRATEGY_AUTHORING.md
048,phase-13-exit-and-risk,docs/archive/phases/phase-13-exit-and-risk/SPRINT_048.md,"Sprint 048 — Exit/Risk Model Expansion, Catalog Growth and New Strategies (Phase 13)",implemented_slice,docs/reference/modules/STRATEGY_EXAMPLES.md
049,phase-14-predictive-promotion,docs/archive/phases/phase-14-predictive-promotion/SPRINT_049.md,Sprint 049 — Promotable Predictive Artifact (Phase 14A),implemented_slice,docs/reference/modules/PREDICTIVE_PROMOTION.md
051,phase-15-predictive-catalog,docs/archive/phases/phase-15-predictive-catalog/SPRINT_051.md,Sprint 051 — Momentum and Regime Component Catalog (Phase 15A),implemented_slice,docs/reference/modules/ANALYSIS_COMPONENT_CATALOG.md
052,phase-15-predictive-catalog,docs/archive/phases/phase-15-predictive-catalog/SPRINT_052.md,Sprint 052 — Real-Data BTC Predictive Study (Phase 15B),implemented_slice,docs/reference/examples/BTC_PREDICTIVE_STUDY.md
056,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_056.md,"Sprint 056 — SampleSpec Foundation (Phase 16, Increment 16B)",implemented_slice,docs/reference/workflows/methodologies/PREDICTIVE_RESEARCH.md
057,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_057.md,"Sprint 057 — Analyst Verdict Artifact (Phase 16, Increment 16A)",implemented_slice,docs/reference/PREDICTIVE_VERDICT.md
058,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_058.md,"Sprint 058: Signal Quality Scoring (Phase 16, increment 16C)",implemented_slice,docs/reference/examples/BTC_SIGNAL_QUALITY_STUDY.md
059,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_059.md,"Sprint 059: Portfolio Publication Foundation (Phase 16, increment 16D)",implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
060,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_060.md,"Sprint 060: Signal Quality Portfolio Evidence (Phase 16, increment 16D)",implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
061,phase-16-research-workbench,docs/archive/phases/phase-16-research-workbench/SPRINT_061.md,"Sprint 061: Portfolio Story, Content and Direction Completion",implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
